,Financial Services,Diversified,Capital Goods,Construction Materials,Healthcare,Chemicals,Information Technology,Power,Metals & Mining,Services,Oil Gas & Consumable Fuels,Fast Moving Consumer Goods,Consumer Services,Construction,Textiles,Automobile and Auto Components,Consumer Durables,Realty,Telecommunication,Forest Materials,Media Entertainment & Publication,Utilities
0,360ONE,3MINDIA,ABB,ACC,AARTIDRUGS,AARTIIND,ACCELYA,ADANIENSOL,ADANIENT,ADANIPORTS,ATGL,AWL,ABFRL,AHLUCONT,ALOKINDS,ARE&M,AMBER,ANANTRAJ,BHARTIARTL,CENTURYTEX,DBCORP,WABAG
1,AUBANK,BALMLAWRIE,AGI,AMBUJACEM,AARTIPHARM,AETHER,AFFLE,ADANIGREEN,GRAVITA,ALLCARGO,AEGISCHEM,AVANTIFEED,ARVINDFASN,ASHOKA,ARVIND,APOLLOTYRE,ASIANPAINT,BRIGADE,HFCL,JKPAPER,DEN,
2,AAVAS,DCMSHRIRAM,AIAENG,BIRLACORPN,ABBOTINDIA,ALKYLAMINE,BSOFT,ADANIPOWER,GMDCLTD,BLUEDART,BPCL,BAJAJCON,DMART,DBL,BOMDYEING,ASAHIINDIA,BATAINDIA,DBREALTY,ITI,WSTCSTPAPR,DISHTV,
3,ABCAPITAL,GODREJIND,APLAPOLLO,DALBHARAT,ADVENZYMES,ANURAS,BCG,CESC,HINDALCO,CMSINFO,CASTROLIND,BAJAJHIND,BLS,ENGINERSIN,DOLLAR,AUTOAXLES,BERGEPAINT,DLF,INDUSTOWER,,HATHWAY,
4,ANANDRATHI,,ACE,GRASIM,AJANTPHARM,ACI,MAPMYINDIA,JSWENERGY,HINDCOPPER,CONCOR,CHENNPETRO,BALRAMCHIN,BARBEQUE,GRINFRA,GARFIBRES,BAJAJ-AUTO,BLUESTARCO,GANESHHOUC,OPTIEMUS,,NAVNETEDUL,
5,ANGELONE,,APARINDS,HEIDELBERG,APLLTD,ASTEC,CIGNITITEC,JPPOWER,HINDZINC,DELHIVERY,COALINDIA,BIKAJI,CARTRADE,HGINFRA,GOKEX,BALKRISIND,CAMPUS,GODREJPROP,RAILTEL,,NAZARA,
6,APTUS,,APCOTEXIND,INDIACEM,ALKEM,ATUL,COFORGE,NHPC,IMFA,DREAMFOLKS,CONFIPET,BBTC,CHALET,HCC,ICIL,BOSCHLTD,CARYSIL,HEMIPROP,ROUTE,,NETWORK18,
7,AXISBANK,,APOLLOPIPE,JKCEMENT,AMIORG,BALAMINES,CYIENT,NLCINDIA,JSWSTEEL,FSL,GAIL,BRITANNIA,DELTACORP,IRB,JINDWORLD,CIEINDIA,CENTURYPLY,IBREALEST,STLTECH,,PVRINOX,
8,BSE,,ASHOKLEY,JKLAKSHMI,APOLLOHOSP,BAYERCROP,DATAMATICS,NTPC,JSL,GMRINFRA,GUJGASLTD,CCL,DEVYANI,IRCON,KPRMILL,CEATLTD,CERA,KOLTEPATIL,TATACOMM,,SAREGAMA,
9,BAJFINANCE,,ASTRAMICRO,NUVOCO,ASTERDM,BEPL,HCLTECH,NAVA,JINDALSTEL,GATEWAY,GSPL,COLPAL,EIHOTEL,ITDCEM,KKCL,CRAFTSMAN,CROMPTON,LODHA,TTML,,SUNTV,
